Release date,Product,Platform,Impact,Max Severity,Article,Article (Link),Download,Download (Link),Build Number,Details,Details (Link)
"Jul 31, 2025",Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,138.0.3351.121,CVE-2025-8292,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-8292
"Jul 25, 2025",Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,138.0.3351.109,CVE-2025-8011,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-8011
"Jul 25, 2025",Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,Security Update,,138.0.3351.109,CVE-2025-8010,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-8010
"Jul 20, 2025",Microsoft SharePoint Server Subscription Edition,,Spoofing,Important,5002768,https://www.microsoft.com/en-us/download/details.aspx?id=108285,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108285,16.0.18526.20508,CVE-2025-53771,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53771
"Jul 20, 2025",Microsoft SharePoint Server 2019,,Spoofing,Important,5002754,https://www.microsoft.com/en-us/download/details.aspx?id=108286,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108286,16.0.10417.20037,CVE-2025-53771,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53771
"Jul 20, 2025",Microsoft SharePoint Server 2019,,Spoofing,Important,5002753,https://support.microsoft.com/help/5002753,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108287,16.0.10417.20037,CVE-2025-53771,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53771
"Jul 20, 2025",Microsoft SharePoint Enterprise Server 2016,,Spoofing,Important,5002760,https://support.microsoft.com/help/5002760,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108288,16.0.5513.1001,CVE-2025-53771,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53771
"Jul 20, 2025",Microsoft SharePoint Enterprise Server 2016,,Spoofing,Important,5002759,https://support.microsoft.com/help/5002759,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108289,16.0.5513.1001,CVE-2025-53771,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53771
"Jul 19, 2025",Microsoft SharePoint Server Subscription Edition,,Remote Code Execution,Critical,5002768,https://www.microsoft.com/en-us/download/details.aspx?id=108285,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108285,16.0.18526.20508,CVE-2025-53770,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53770
"Jul 19, 2025",Microsoft SharePoint Server 2019,,Remote Code Execution,Critical,5002754,https://www.microsoft.com/en-us/download/details.aspx?id=108286,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108286,16.0.10417.20037,CVE-2025-53770,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53770
